shipment_id,warehouse_id,date,destination_region,delivery_days,sla_days,weight_kg,carrier,status,on_time
SH000001,WH11,2023-06-12,Norte,3,7,10.0,Azul Cargo,Em trânsito,1
SH000002,WH09,2023-11-17,Sul,11,7,4.43,Correios,Entregue,0
SH000003,WH05,2023-03-25,Nordeste,9,3,0.15,Total Express,Entregue,0
SH000004,WH07,2023-07-27,Norte,7,5,0.67,Azul Cargo,Entregue,0
SH000005,WH12,2024-04-29,Sul,10,3,13.42,Jadlog,Entregue,0
SH000006,WH07,2024-06-30,Norte,11,5,2.83,Azul Cargo,Entregue,0
SH000007,WH07,2023-11-07,Sudeste,12,10,9.27,Azul Cargo,Entregue,0
SH000008,WH08,2023-01-21,Nordeste,13,10,3.88,Jadlog,Entregue,0
SH000009,WH03,2023-01-14,Sul,1,10,8.93,Jadlog,Entregue,1
SH000010,WH01,2023-05-26,Sul,11,7,82.07,Correios,Atrasado,0
SH000011,WH04,2024-06-30,Centro-Oeste,2,5,14.08,Jadlog,Entregue,1
SH000012,WH01,2024-03-24,Nordeste,7,10,5.11,Azul Cargo,Atrasado,1
SH000013,WH04,2023-09-03,Norte,1,5,40.33,Jadlog,Entregue,1
SH000014,WH11,2023-08-27,Sudeste,1,10,0.42,Correios,Entregue,1
SH000015,WH02,2024-06-11,Norte,14,3,2.25,Azul Cargo,Entregue,0
SH000016,WH08,2024-01-01,Sudeste,11,10,8.28,Azul Cargo,Entregue,0
SH000017,WH06,2024-05-18,Centro-Oeste,6,3,4.15,Total Express,Entregue,0
SH000018,WH05,2023-12-24,Sul,10,7,15.27,Total Express,Entregue,0
SH000019,WH02,2024-06-16,Sudeste,2,3,0.42,Azul Cargo,Entregue,1
SH000020,WH10,2023-01-26,Sul,12,5,3.84,Azul Cargo,Entregue,0
SH000021,WH03,2023-06-24,Sul,9,3,23.22,Correios,Entregue,0
SH000022,WH09,2024-05-14,Norte,12,10,6.17,Azul Cargo,Em trânsito,0
