transaction_id,customer_id,date,amount,category,payment_method,status
T000001,C01384,2023-04-25,121.67,Alimentação,Pix,Concluído
T000002,C01601,2024-05-16,512.92,Esporte,Crédito,Concluído
T000003,C01025,2022-07-08,181.63,Esporte,Crédito,Concluído
T000004,C01779,2022-01-05,87.51,Moda,Boleto,Concluído
T000005,C00981,2022-10-13,319.04,Moda,Boleto,Concluído
T000006,C00381,2024-02-29,244.55,Casa,Débito,Concluído
T000007,C00828,2023-10-19,401.85,Casa,Crédito,Concluído
T000008,C01561,2023-01-29,257.92,Casa,Débito,Concluído
T000009,C00859,2023-03-31,45.68,Casa,Boleto,Concluído
T000010,C00394,2023-12-09,277.4,Alimentação,Débito,Concluído
T000011,C01074,2023-03-02,124.21,Eletrônicos,Débito,Concluído
T000012,C00396,2022-01-27,155.51,Casa,Débito,Concluído
T000013,C01884,2022-05-07,636.37,Moda,Crédito,Concluído
T000014,C01777,2022-05-15,111.56,Eletrônicos,Pix,Concluído
T000015,C00032,2023-06-19,236.66,Eletrônicos,Crédito,Concluído
T000016,C00545,2022-11-27,112.94,Alimentação,Débito,Concluído
T000017,C00712,2023-09-21,24.88,Esporte,Boleto,Concluído
T000018,C01258,2023-01-27,151.07,Eletrônicos,Pix,Concluído
T000019,C01050,2022-01-08,227.24,Alimentação,Débito,Concluído
T000020,C01578,2023-09-05,130.85,Alimentação,Débito,Cancelado
T000021,C01458,2022-09-18,123.85,Alimentação,Boleto,Concluído
T000022,C01085,2022-07-18,429.23,Casa,Débito,Concluído
T000023,C00553,2023-08-21,7.53,Esporte,Débito,Concluído
T000024,C01465,2024-01-10,87.6,Casa,Pix,Reembolsado
T000025,C01154,2023-01-21,417.51,Moda,Crédito,Concluído
T000026,C01891,2023-04-17,633.09,Esporte,Boleto,Cancelado
T000027,C01378,2022-06-28,132.88,Casa,Boleto,Concluído
T000028,C00198,2023-03-26,549.09,Esporte,Boleto,Concluído
T000029,C00799,2022-08-28,55.45,Moda,Crédito,Concluído
T000030,C01687,2023-06-08,62.57,Casa,Crédito,Concluído
T000031,C01740,2024-03-25,468.01,Esporte,Pix,Concluído
T000032,C00694,2024-01-16,583.93,Moda,Pix,Concluído
T000033,C01395,2022-07-02,63.02,Alimentação,Boleto,Cancelado
T000034,C01948,2024-03-04,15.29,Esporte,Crédito,Concluído
T000035,C01743,2022-12-24,23.67,Moda,Pix,Concluído
T000036,C00147,2023-01-11,75.74,Alimentação,Débito,Concluído
T000037,C01740,2023-12-03,358.29,Moda,Crédito,Concluído
T000038,C00498,2024-04-17,178.33,Eletrônicos,Débito,Concluído
T000039,C00048,2023-12-28,152.01,Moda,Pix,Concluído
T000040,C00770,2024-02-09,219.35,Casa,Débito,Reembolsado
T000041,C00651,2023-06-22,552.33,Casa,Pix,Concluído
T000042,C01196,2024-02-21,23.7,Casa,Boleto,Concluído
T000043,C00613,2022-03-23,296.63,Casa,Boleto,Concluído
T000044,C00699,2022-12-24,653.61,Eletrônicos,Boleto,Concluído
T000045,C01920,2022-07-04,59.99,Eletrônicos,Crédito,Concluído
T000046,C01339,2022-10-15,454.69,Eletrônicos,Crédito,Concluído
T000047,C00376,2022-03-03,299.35,Alimentação,Boleto,Concluído
T000048,C00806,2024-06-01,3.64,Esporte,Crédito,Concluído
T000049,C00921,2023-05-22,65.87,Casa,Pix,Concluído
T000050,C00875,2023-04-07,232.75,Esporte,Débito,Concluído
T000051,C01557,2022-01-30,174.49,Casa,Pix,Concluído
T000052,C00810,2024-06-27,187.66,Casa,Boleto,Cancelado
T000053,C01444,2022-01-31,65.97,Casa,Débito,Concluído
T000054,C00905,2022-10-20,280.99,Eletrônicos,Pix,Concluído
T000055,C01420,2022-06-22,77.45,Alimentação,Débito,Concluído
T000056,C01546,2023-09-06,123.34,Casa,Crédito,Concluído
T000057,C01211,2022-05-08,115.08,Casa,Débito,Concluído
T000058,C01006,2022-03-27,278.7,Casa,Débito,Concluído
T000059,C01669,2022-11-11,23.65,Moda,Boleto,Concluído
T000060,C00033,2022-01-28,57.52,Casa,Crédito,Concluído
T000061,C00069,2022-05-02,55.94,Eletrônicos,Pix,Concluído
T000062,C00592,2022-09-08,28.69,Eletrônicos,Boleto,Concluído
T000063,C01215,2023-07-27,58.17,Esporte,Débito,Concluído
T000064,C00101,2023-02-07,233.52,Eletrônicos,Pix,Concluído
T000065,C01509,2023-11-14,329.35,Esporte,Débito,Concluído
T000066,C01309,2023-03-19,269.93,Alimentação,Débito,Concluído
T000067,C00914,2022-09-29,161.18,Moda,Pix,Concluído
T000068,C00733,2024-04-16,13.46,Eletrônicos,Débito,Concluído
T000069,C00390,2024-03-22,798.59,Casa,Débito,Concluído
T000070,C01589,2022-04-23,46.0,Alimentação,Pix,Concluído
T000071,C00160,2023-12-07,275.97,Casa,Pix,Concluído
T000072,C00892,2023-01-29,610.15,Esporte,Boleto,Concluído
T000073,C01578,2022-01-19,299.15,Esporte,Pix,Concluído
T000074,C01071,2024-05-01,61.49,Moda,Boleto,Concluído
T000075,C01183,2023-08-28,94.87,Alimentação,Pix,Cancelado
T000076,C01470,2023-12-30,7.67,Esporte,Boleto,Concluído
T000077,C00696,2023-04-10,237.18,Casa,Boleto,Concluído
T000078,C00758,2023-11-22,237.33,Eletrônicos,Débito,Concluído
T000079,C00523,2024-06-27,323.2,Eletrônicos,Crédito,Concluído
T000080,C01690,2022-07-10,2.76,Alimentação,Pix,Cancelado
T000081,C00732,2023-05-08,425.72,Alimentação,Pix,Concluído
T000082,C00155,2024-06-30,335.53,Esporte,Débito,Cancelado
T000083,C00339,2022-06-12,37.96,Eletrônicos,Crédito,Concluído
T000084,C01977,2023-09-04,106.78,Moda,Crédito,Concluído
T000085,C01389,2023-11-30,254.39,Moda,Pix,Cancelado
T000086,C00795,2022-10-22,171.19,Moda,Pix,Concluído
T000087,C01723,2023-08-02,30.57,Moda,Boleto,Concluído
T000088,C01598,2022-03-14,22.85,Esporte,Crédito,Concluído
T000089,C01172,2024-01-14,380.19,Casa,Crédito,Concluído
T000090,C00899,2023-12-02,42.39,Moda,Boleto,Concluído
T000091,C01168,2023-07-16,47.21,Esporte,Boleto,Reembolsado
T000092,C00103,2022-11-05,444.35,Moda,Pix,Concluído
T000093,C00812,2022-10-29,236.78,Moda,Crédito,Concluído
T000094,C00093,2022-11-04,232.04,Casa,Débito,Concluído
T000095,C00975,2022-05-04,163.17,Moda,Boleto,Concluído
T000096,C01310,2023-10-31,210.41,Esporte,Crédito,Concluído
T000097,C01448,2022-09-18,230.18,Esporte,Crédito,Concluído
T000098,C00119,2022-07-14,859.15,Eletrônicos,Crédito,Concluído
T000099,C01985,2024-04-21,63.07,Alimentação,Crédito,Concluído
T000100,C00029,2022-12-17,60.38,Moda,Boleto,Concluído
T000101,C01013,2024-04-22,14.73,Moda,Débito,Concluído
T000102,C01535,2024-02-07,268.38,Esporte,Débito,Cancelado
T000103,C01054,2023-05-04,199.1,Moda,Boleto,Concluído
T000104,C00872,2022-07-19,29.48,Esporte,Crédito,Concluído
T000105,C01390,2024-06-02,113.35,Eletrônicos,Boleto,Concluído
T000106,C00800,2023-05-23,49.21,Moda,Boleto,Concluído
T000107,C01162,2024-06-16,100.67,Eletrônicos,Crédito,Concluído
T000108,C00475,2023-08-03,755.34,Eletrônicos,Boleto,Concluído
T000109,C00563,2023-03-22,287.46,Alimentação,Boleto,Concluído
T000110,C01416,2022-03-21,1.9,Esporte,Crédito,Concluído
T000111,C00435,2024-01-15,72.76,Eletrônicos,Débito,Concluído
T000112,C00804,2023-11-29,2.6,Esporte,Boleto,Concluído
T000113,C01258,2023-09-09,313.7,Alimentação,Pix,Concluído
T000114,C00055,2023-04-14,158.45,Esporte,Crédito,Concluído
T000115,C00931,2024-04-16,1279.78,Alimentação,Pix,Concluído
T000116,C01316,2023-03-18,330.67,Moda,Boleto,Concluído
T000117,C00752,2023-10-16,182.41,Alimentação,Débito,Concluído
T000118,C00312,2024-06-29,408.31,Alimentação,Boleto,Concluído
T000119,C01572,2024-06-20,305.03,Alimentação,Crédito,Concluído
T000120,C01113,2022-09-29,69.85,Casa,Débito,Concluído
T000121,C01236,2022-12-09,188.89,Eletrônicos,Boleto,Concluído
T000122,C00957,2022-05-04,202.98,Esporte,Crédito,Cancelado
T000123,C00318,2022-08-11,150.02,Esporte,Pix,Concluído
T000124,C01901,2023-05-05,49.37,Casa,Boleto,Cancelado
T000125,C00757,2023-11-17,63.2,Moda,Pix,Concluído
T000126,C00465,2023-12-04,82.49,Eletrônicos,Crédito,Concluído
T000127,C01111,2023-10-14,2.58,Eletrônicos,Crédito,Concluído
T000128,C01433,2022-10-24,622.06,Eletrônicos,Pix,Concluído
T000129,C01264,2022-04-29,289.67,Eletrônicos,Débito,Concluído
T000130,C01856,2024-02-26,292.49,Casa,Boleto,Concluído
T000131,C00700,2022-03-17,212.35,Esporte,Crédito,Concluído
T000132,C01081,2023-09-13,292.24,Moda,Débito,Concluído
T000133,C01137,2023-09-23,1002.44,Moda,Crédito,Concluído
T000134,C00735,2024-05-30,121.6,Moda,Crédito,Concluído
T000135,C01094,2022-09-15,311.66,Casa,Crédito,Concluído
T000136,C00739,2023-06-16,111.39,Casa,Pix,Concluído
T000137,C00768,2023-09-23,481.53,Alimentação,Pix,Concluído
T000138,C01716,2022-12-17,488.03,Casa,Crédito,Concluído
T000139,C01208,2023-10-11,581.38,Eletrônicos,Boleto,Concluído
T000140,C01727,2022-10-04,1.37,Esporte,Débito,Concluído
T000141,C01988,2022-09-12,88.52,Moda,Crédito,Concluído
T000142,C00744,2022-09-21,35.95,Casa,Débito,Concluído
T000143,C00276,2023-11-10,151.28,Esporte,Crédito,Concluído
